description,category
Road surface cracked and uneven.,Road Department
Electricity supply unstable with voltage drops.,Electric Department
Water flow extremely low despite full pressure.,Water Supply Department
Sewer  line  blocked  causing  overflow.,Sewerage Department
Potholes  filled  with  water  after  rain.  please  resolve  urgently.,Road Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Footpath broken and unsafe for walking. please resolve urgently.,Road Department
Pillar has developed major cracks after rain. please resolve urgently.,Building Department
"garbage dumped on roadside, health hazard.",Sanitation Department
Sewer  line  blocked  causing  overflow.,Sewerage Department
No water supply since morning.,Water Supply Department
Water flow extremely low despite full pressure.,Water Supply Department
Staircase railing loose and unsafe.,Building Department
Sewage leaking into nearby houses.,Sewerage Department
Tap water muddy and smells bad.,Water Supply Department
staircase  railing  loose  and  unsafe.,Building Department
Structural damage visible on the outer wall.,Building Department
Tap water muddy and smells bad.,Water Supply Department
Tap water muddy and smells bad.,Water Supply Department
Tap water muddy and smells bad.,Water Supply Department
Sewer pipeline clogged completely.,Sewerage Department
Road divider damaged in an accident.,Road Department
Pipeline damaged during road work.,Water Supply Department
No water supply since morning. please resolve urgently.,Water Supply Department
pipeline  damaged  during  road  work.,Water Supply Department
"Transformer overloaded, making loud noise.",Electric Department
Underground sewerage pipe damaged.,Sewerage Department
Loose electric wires hanging near the road.,Electric Department
loose electric wires hanging near the road.,Electric Department
ceiling plaster falling off in the hallway.,Building Department
Drainage water entering houses after rain.,Sanitation Department
ceiling  plaster  falling  off  in  the  hallway.,Building Department
staircase railing loose and unsafe.,Building Department
Sewage leaking into nearby houses.,Sewerage Department
street lights have been off for the past week.,Electric Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
"Transformer overloaded, making loud noise.",Electric Department
Pipeline damaged during road work.,Water Supply Department
Drain overflows every time it rains.,Sanitation Department
"Speed bump too high, damaging cars.",Road Department
Waste accumulation causing mosquito breeding. please resolve urgently.,Sanitation Department
Ceiling plaster falling off in the hallway.,Building Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Sewer line blocked causing overflow.,Sewerage Department
balcony railing rusted and may break.,Building Department
Drainage water entering houses after rain.,Sanitation Department
Electric pole leaning dangerously after storm.,Electric Department
Railing on the staircase is broken and dangerous. please resolve urgently.,Building Department
Low water pressure in all houses. please resolve urgently.,Water Supply Department
Tap water muddy and smells bad.,Water Supply Department
Main pipeline leak creating swamp.,Water Supply Department
Drain clogged and water stagnating. please resolve urgently.,Sanitation Department
Road divider damaged in an accident.,Road Department
Cracks appearing on the walls of the building.,Building Department
"Street light bulb fused, area dark at night. please resolve urgently.",Electric Department
"roadside barrier broken, safety concern.",Road Department
Waste blocking the drainage system.,Sanitation Department
Sewage leaking into nearby houses.,Sewerage Department
Street lights have been off for the past week. please resolve urgently.,Electric Department
road full of potholes causing damage to vehicles.,Road Department
Sewage backflow in washrooms.,Sewerage Department
Footpath  broken  and  unsafe  for  walking.,Road Department
Drainage water entering houses after rain.,Sanitation Department
"Speed bump too high, damaging cars.",Road Department
tap water muddy and smells bad.,Water Supply Department
Sewage  water  stagnating  near  road.,Sewerage Department
Sewer line blocked causing overflow.,Sewerage Department
Speed breakers are not marked properly and vehicles are slipping. please resolve urgently.,Road Department
Waste accumulation causing mosquito breeding. please resolve urgently.,Sanitation Department
Dirty sewer water entering shops after rain.,Sewerage Department
Railing on the staircase is broken and dangerous.,Building Department
"Electric  cables  exposed,  risky  for  pedestrians.",Electric Department
Sewage backflow in washrooms.,Sewerage Department
Wall near staircase damaged and unstable.,Building Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Drain clogged and water stagnating.,Sanitation Department
water pipes leaking heavily and flooding the area.,Water Supply Department
No water supply since morning.,Water Supply Department
Road full of potholes causing damage to vehicles.,Road Department
Drainage water entering houses after rain.,Sanitation Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Underground  sewerage  pipe  damaged.  please  resolve  urgently.,Sewerage Department
Building foundation showing signs of sinking.,Building Department
dirty sewer water entering shops after rain.,Sewerage Department
"Street light bulb fused, area dark at night.",Electric Department
Pipeline damaged during road work.,Water Supply Department
Sewage leaking into nearby houses. please resolve urgently.,Sewerage Department
