description,category
Wall has collapsed partially due to old structure building.,Building Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
No water in our street for two days supply. please fix soon.,Water Supply Department
Garbage heap near market creating pollution waste.,Sanitation Department
Waste dumped openly on roadside attracting animals garbage.,Sanitation Department
building foundation sinking due to rainwater damage building. please fix soon.,Building Department
Electric wires hanging dangerously after the rain electric.,Electric Department
Potholes on road causing vehicle damage block. please fix soon.,Road Department
"Ceiling leaking during heavy rain, unsafe for residents building.",Building Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
Cracked road surface needs urgent repair block.,Road Department
Garbage truck hasn’t come for four days waste.,Sanitation Department
Main road blocked after heavy rain block.,Road Department
"construction of the flat left incomplete, wall broken building.",Building Department
Underground pipeline broken and releasing foul smell sewerage.,Sewerage Department
Road under construction blocking vehicle passage block.,Road Department
Manhole cover missing near crossing sewerage.,Sewerage Department
Manhole cover missing near crossing sewerage.,Sewerage Department
Broken road surface creating traffic jams block.,Road Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
Sewer water entering shops after rain sewerage.,Sewerage Department
Transformer overloaded and making loud noise electric.,Electric Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
There are cracks appearing near the admin building in our college building.,Building Department
No water supply since morning water.,Water Supply Department
cracks in the roof and pillars after the storm building.,Building Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
There are cracks appearing near the admin building in our college building.,Building Department
Cracked road surface needs urgent repair block.,Road Department
Manhole overflowing with dirty water sewerage.,Sewerage Department
Wall has collapsed partially due to old structure building.,Building Department
old apartment wall cracked and plaster falling building.,Building Department
Potholes filled with rainwater making travel hard block.,Road Department
No water supply since morning water.,Water Supply Department
Foul odor spreading from manhole sewerage.,Sewerage Department
Power outage in the locality due to cable fault electricity.,Electric Department
Potholes on road causing vehicle damage block.,Road Department
"pipeline burst, wasting clean water water.",Water Supply Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
Cracked road surface needs urgent repair block.,Road Department
Drinking water brown and muddy water.,Water Supply Department
"No current since morning, transformer damaged electricity.",Electric Department
The house next door showing wall cracks and leakage building. please fix soon.,Building Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
Drainage water overflowing near houses drainage.,Sanitation Department
Old apartment wall cracked and plaster falling building.,Building Department
Overflowing dustbins attracting flies and mosquitoes garbage.,Sanitation Department
Manhole cover missing near crossing sewerage.,Sewerage Department
Sewage leaking into houses after rainfall sewerage.,Sewerage Department
no water supply since morning water.,Water Supply Department
Footpath damaged and debris blocking walkway block.,Road Department
Drinking water brown and muddy water.,Water Supply Department
Underground pipeline broken and releasing foul smell sewerage.,Sewerage Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
Wall has collapsed partially due to old structure building.,Building Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
