description,category
Sewer line overflowing and spreading dirty water.,Sewerage Department
Wires  hanging  dangerously  near  the  electric  pole.,Electric Department
The drainage is overflowing due to heavy rain.,Sanitation Department
"Underground sewage clogged, foul smell spreading. please resolve this issue soon.",Sewerage Department
"Building structure fine, no cracks visible.",Building Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Electric wires snapped and lying on the road.,Electric Department
Damaged footpath blocking safe walking area.,Road Department
Newly built road already showing cracks and uneven surface.,Road Department
"Old  flat  wall  plaster  has  fallen  off,  unsafe  for  residents.",Building Department
"water pressure too low, unable to fill tank.",Water Supply Department
"Garbage not collected regularly, causing bad smell. please resolve this issue soon.",Sanitation Department
Transformer burst causing short circuit and power failure.,Electric Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Tap water supply irregular since last week.,Water Supply Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Street lights are not working in our colony. please resolve this issue soon.,Electric Department
"No electricity since last night, transformer seems burnt.",Electric Department
Foul smell coming from underground sewerage system.,Sewerage Department
There is a power outage in our area since morning.,Electric Department
Tap water supply irregular since last week.,Water Supply Department
Drainage line blocked with plastic and debris.,Sanitation Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Low water pressure in our area since yesterday.,Water Supply Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
"Drinking water contaminated, smells bad.",Water Supply Department
Cracks have appeared on the wall of the community building.,Building Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Electric wires snapped and lying on the road.,Electric Department
No water in tank even after scheduled supply time.,Water Supply Department
Waste  dumped  openly  on  roadside  attracting  animals.,Sanitation Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
No water in tank even after scheduled supply time.,Water Supply Department
no water supply in the colony since morning.,Water Supply Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
uncollected garbage making the area unhygienic.,Sanitation Department
Low water pressure in our area since yesterday.,Water Supply Department
No water supply in the colony since morning.,Water Supply Department
Current fluctuation damaging home appliances. please resolve this issue soon.,Electric Department
Drainage line blocked with plastic and debris.,Sanitation Department
"overflowing bins near market area, needs cleaning.",Sanitation Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Potholes on main road causing accidents during rain.,Road Department
"House  foundation  damaged,  wall  tilting  slightly.",Building Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Road condition is good after repair.,Road Department
"Water pressure too low, unable to fill tank. please resolve this issue soon.",Water Supply Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Road full of potholes, needs immediate repair.",Road Department
Current  fluctuation  damaging  home  appliances.,Electric Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
"No electricity since last night, transformer seems burnt.",Electric Department
Potholes  on  main  road  causing  accidents  during  rain.,Road Department
Sewer pipeline damaged causing leakages.,Sewerage Department
"Plaster peeling from walls, building looks unsafe.",Building Department
"overflowing bins near market area, needs cleaning.",Sanitation Department
Building under construction without safety barricades.,Building Department
Road damaged badly due to heavy traffic and rain. please resolve this issue soon.,Road Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
There is a power outage in our area since morning.,Electric Department
"Open manhole near park, dangerous for children.",Sewerage Department
Blocked  sewer  line  needs  urgent  cleaning.,Sewerage Department
Damaged  footpath  blocking  safe  walking  area.,Road Department
Electric wires snapped and lying on the road.,Electric Department
